Ticker_gse,Stock Name_gse,Value_gse,Date Value_gse,yearQuar_gse,DOW JONES COMPOSITE AVERAGE,DOW JONES INDUSTRIAL AVERAGE,DOW JONES TRANSPORTATION AVERAGE,DOW JONES UTILITY AVERAGE,S&P 500,GROCERY AND PHARMACY PERCENT CHANGE FROM BASELINE,PARKS PERCENT CHANGE FROM BASELINE,RESIDENTIAL PERCENT CHANGE FROM BASELINE,RETAIL AND RECREATION PERECENT CHANGE FROM BASELINE,TRANSIT STATIONS PERCENT CHANGE FROM BASELINE,WORKPLACES PERCENT CHANGE FROM BASELINE,Value_jodi,month,year,COAL PRODUCTION TOTAL U.S._shortene,U.S. CRUDE OIL PRODUCTION_shortene,U.S. TOTAL ENERGY CONSUMPTION_shortene,LONG-TERM INTEREST RATES_interates,SHORT-TERM INTEREST RATES_interates,SINGAPORE JET KERO VS SINGAPORE GASOIL SWAP_enerfutup,BRENT CRUDE OIL (DOLLARS PER BARREL),WTI CRUDE OIL (DOLLARS PER BARREL),Polarity
VLO,VALERO ENERGY CORPORATION,76.37,3/4/2021,2021Q1,10213.87,30924.14,13219.66,800.17,3768.47,-1.941176471,6.28342246,5.812244898,-13.25,-23.73076923,-18.31176471,,3,2021,56.25,13.56,8.49,,0.11,,67.32,63.81,-0.155546346
XOM,EXXON MOBIL CORPORATION,58.71,3/4/2021,2021Q1,10213.87,30924.14,13219.66,800.17,3768.47,-1.941176471,6.28342246,5.812244898,-13.25,-23.73076923,-18.31176471,,3,2021,56.25,13.56,8.49,,0.11,,67.32,63.81,-0.155546346
MPC,MARATHON PETROLEUM CORPORATION,56.51,3/4/2021,2021Q1,10213.87,30924.14,13219.66,800.17,3768.47,-1.941176471,6.28342246,5.812244898,-13.25,-23.73076923,-18.31176471,,3,2021,56.25,13.56,8.49,,0.11,,67.32,63.81,-0.155546346
OXY,OCCIDENTAL PETROLEUM CORPORATION,29.9,3/4/2021,2021Q1,10213.87,30924.14,13219.66,800.17,3768.47,-1.941176471,6.28342246,5.812244898,-13.25,-23.73076923,-18.31176471,,3,2021,56.25,13.56,8.49,,0.11,,67.32,63.81,-0.155546346
CVX,CHEVRON CORPORATION,104.5,3/4/2021,2021Q1,10213.87,30924.14,13219.66,800.17,3768.47,-1.941176471,6.28342246,5.812244898,-13.25,-23.73076923,-18.31176471,,3,2021,56.25,13.56,8.49,,0.11,,67.32,63.81,-0.155546346
PSX,PHILLIPS 66,84.41,3/4/2021,2021Q1,10213.87,30924.14,13219.66,800.17,3768.47,-1.941176471,6.28342246,5.812244898,-13.25,-23.73076923,-18.31176471,,3,2021,56.25,13.56,8.49,,0.11,,67.32,63.81,-0.155546346
COP,CONOCOPHILLIPS,55.62,3/4/2021,2021Q1,10213.87,30924.14,13219.66,800.17,3768.47,-1.941176471,6.28342246,5.812244898,-13.25,-23.73076923,-18.31176471,,3,2021,56.25,13.56,8.49,,0.11,,67.32,63.81,-0.155546346
MRO,MARATHON OIL CORPORATION,12.36,3/4/2021,2021Q1,10213.87,30924.14,13219.66,800.17,3768.47,-1.941176471,6.28342246,5.812244898,-13.25,-23.73076923,-18.31176471,,3,2021,56.25,13.56,8.49,,0.11,,67.32,63.81,-0.155546346
BP,BP P.L.C.,26.03,3/4/2021,2021Q1,10213.87,30924.14,13219.66,800.17,3768.47,-1.941176471,6.28342246,5.812244898,-13.25,-23.73076923,-18.31176471,,3,2021,56.25,13.56,8.49,,0.11,,67.32,63.81,-0.155546346
PXD,PIONEER NATURAL RESOURCES COMPANY,158.57,3/4/2021,2021Q1,10213.87,30924.14,13219.66,800.17,3768.47,-1.941176471,6.28342246,5.812244898,-13.25,-23.73076923,-18.31176471,,3,2021,56.25,13.56,8.49,,0.11,,67.32,63.81,-0.155546346
VLO,VALERO ENERGY CORPORATION,77.53,3/3/2021,2021Q1,10348.77,31270.09,13548.44,798.59,3819.72,1.111111111,17.26229508,5.321649485,-10.27272727,-24.07692308,-18.24089307,,3,2021,56.25,13.56,8.49,,0.11,,64.7,61.33,-0.15018862
XOM,EXXON MOBIL CORPORATION,56.52,3/3/2021,2021Q1,10348.77,31270.09,13548.44,798.59,3819.72,1.111111111,17.26229508,5.321649485,-10.27272727,-24.07692308,-18.24089307,,3,2021,56.25,13.56,8.49,,0.11,,64.7,61.33,-0.15018862
MPC,MARATHON PETROLEUM CORPORATION,56.07,3/3/2021,2021Q1,10348.77,31270.09,13548.44,798.59,3819.72,1.111111111,17.26229508,5.321649485,-10.27272727,-24.07692308,-18.24089307,,3,2021,56.25,13.56,8.49,,0.11,,64.7,61.33,-0.15018862
OXY,OCCIDENTAL PETROLEUM CORPORATION,28.66,3/3/2021,2021Q1,10348.77,31270.09,13548.44,798.59,3819.72,1.111111111,17.26229508,5.321649485,-10.27272727,-24.07692308,-18.24089307,,3,2021,56.25,13.56,8.49,,0.11,,64.7,61.33,-0.15018862
CVX,CHEVRON CORPORATION,103.59,3/3/2021,2021Q1,10348.77,31270.09,13548.44,798.59,3819.72,1.111111111,17.26229508,5.321649485,-10.27272727,-24.07692308,-18.24089307,,3,2021,56.25,13.56,8.49,,0.11,,64.7,61.33,-0.15018862
PSX,PHILLIPS 66,83.84,3/3/2021,2021Q1,10348.77,31270.09,13548.44,798.59,3819.72,1.111111111,17.26229508,5.321649485,-10.27272727,-24.07692308,-18.24089307,,3,2021,56.25,13.56,8.49,,0.11,,64.7,61.33,-0.15018862
COP,CONOCOPHILLIPS,53.66,3/3/2021,2021Q1,10348.77,31270.09,13548.44,798.59,3819.72,1.111111111,17.26229508,5.321649485,-10.27272727,-24.07692308,-18.24089307,,3,2021,56.25,13.56,8.49,,0.11,,64.7,61.33,-0.15018862
MRO,MARATHON OIL CORPORATION,11.63,3/3/2021,2021Q1,10348.77,31270.09,13548.44,798.59,3819.72,1.111111111,17.26229508,5.321649485,-10.27272727,-24.07692308,-18.24089307,,3,2021,56.25,13.56,8.49,,0.11,,64.7,61.33,-0.15018862
BP,BP P.L.C.,25.58,3/3/2021,2021Q1,10348.77,31270.09,13548.44,798.59,3819.72,1.111111111,17.26229508,5.321649485,-10.27272727,-24.07692308,-18.24089307,,3,2021,56.25,13.56,8.49,,0.11,,64.7,61.33,-0.15018862
PXD,PIONEER NATURAL RESOURCES COMPANY,154.16,3/3/2021,2021Q1,10348.77,31270.09,13548.44,798.59,3819.72,1.111111111,17.26229508,5.321649485,-10.27272727,-24.07692308,-18.24089307,,3,2021,56.25,13.56,8.49,,0.11,,64.7,61.33,-0.15018862
VLO,VALERO ENERGY CORPORATION,76.63,3/2/2021,2021Q1,10390.16,31391.52,13571.99,806.08,3870.29,-3.588235294,-3.316582915,6.442857143,-14.58333333,-26.5,-18.43514151,,3,2021,56.25,13.56,8.49,,0.11,,63.17,59.7,-0.131861201
XOM,EXXON MOBIL CORPORATION,56.07,3/2/2021,2021Q1,10390.16,31391.52,13571.99,806.08,3870.29,-3.588235294,-3.316582915,6.442857143,-14.58333333,-26.5,-18.43514151,,3,2021,56.25,13.56,8.49,,0.11,,63.17,59.7,-0.131861201
MPC,MARATHON PETROLEUM CORPORATION,56.03,3/2/2021,2021Q1,10390.16,31391.52,13571.99,806.08,3870.29,-3.588235294,-3.316582915,6.442857143,-14.58333333,-26.5,-18.43514151,,3,2021,56.25,13.56,8.49,,0.11,,63.17,59.7,-0.131861201
OXY,OCCIDENTAL PETROLEUM CORPORATION,27.82,3/2/2021,2021Q1,10390.16,31391.52,13571.99,806.08,3870.29,-3.588235294,-3.316582915,6.442857143,-14.58333333,-26.5,-18.43514151,,3,2021,56.25,13.56,8.49,,0.11,,63.17,59.7,-0.131861201
CVX,CHEVRON CORPORATION,102.44,3/2/2021,2021Q1,10390.16,31391.52,13571.99,806.08,3870.29,-3.588235294,-3.316582915,6.442857143,-14.58333333,-26.5,-18.43514151,,3,2021,56.25,13.56,8.49,,0.11,,63.17,59.7,-0.131861201
PSX,PHILLIPS 66,82.27,3/2/2021,2021Q1,10390.16,31391.52,13571.99,806.08,3870.29,-3.588235294,-3.316582915,6.442857143,-14.58333333,-26.5,-18.43514151,,3,2021,56.25,13.56,8.49,,0.11,,63.17,59.7,-0.131861201
COP,CONOCOPHILLIPS,52.28,3/2/2021,2021Q1,10390.16,31391.52,13571.99,806.08,3870.29,-3.588235294,-3.316582915,6.442857143,-14.58333333,-26.5,-18.43514151,,3,2021,56.25,13.56,8.49,,0.11,,63.17,59.7,-0.131861201
MRO,MARATHON OIL CORPORATION,11.23,3/2/2021,2021Q1,10390.16,31391.52,13571.99,806.08,3870.29,-3.588235294,-3.316582915,6.442857143,-14.58333333,-26.5,-18.43514151,,3,2021,56.25,13.56,8.49,,0.11,,63.17,59.7,-0.131861201
BP,BP P.L.C.,24.77,3/2/2021,2021Q1,10390.16,31391.52,13571.99,806.08,3870.29,-3.588235294,-3.316582915,6.442857143,-14.58333333,-26.5,-18.43514151,,3,2021,56.25,13.56,8.49,,0.11,,63.17,59.7,-0.131861201
