Ticker_gse,Stock Name_gse,Value_gse,Date Value_gse,yearQuar_gse,DOW JONES COMPOSITE AVERAGE,DOW JONES INDUSTRIAL AVERAGE,DOW JONES TRANSPORTATION AVERAGE,DOW JONES UTILITY AVERAGE,S&P 500,GROCERY AND PHARMACY PERCENT CHANGE FROM BASELINE,PARKS PERCENT CHANGE FROM BASELINE,RESIDENTIAL PERCENT CHANGE FROM BASELINE,RETAIL AND RECREATION PERECENT CHANGE FROM BASELINE,TRANSIT STATIONS PERCENT CHANGE FROM BASELINE,WORKPLACES PERCENT CHANGE FROM BASELINE,Value_jodi,month,year,COAL PRODUCTION TOTAL U.S._shortene,U.S. CRUDE OIL PRODUCTION_shortene,U.S. TOTAL ENERGY CONSUMPTION_shortene,LONG-TERM INTEREST RATES_interates,SHORT-TERM INTEREST RATES_interates,SINGAPORE JET KERO VS SINGAPORE GASOIL SWAP_enerfutup,BRENT CRUDE OIL (DOLLARS PER BARREL),WTI CRUDE OIL (DOLLARS PER BARREL),Polarity
PXD,PIONEER NATURAL RESOURCES COMPANY,105.38,8/27/2020,2020Q3,9298.2,28492.27,11205.61,800.69,3484.55,-4.625,24.47058824,6.962666667,-11.83333333,-17.05555556,-31.82649842,,8,2020,62.47,12.93,8.55,,,,44.84,42.88,-0.198896438
VLO,VALERO ENERGY CORPORATION,53.7,8/26/2020,2020Q3,9247.44,28331.92,11126.55,798.89,3478.73,-0.647058824,31.34375,6.494708995,-7.727272727,-20.13333333,-30.73734177,,8,2020,62.47,12.93,8.55,,,,45.79,43.21,-0.148359377
XOM,EXXON MOBIL CORPORATION,40.01,8/26/2020,2020Q3,9247.44,28331.92,11126.55,798.89,3478.73,-0.647058824,31.34375,6.494708995,-7.727272727,-20.13333333,-30.73734177,,8,2020,62.47,12.93,8.55,,,,45.79,43.21,-0.148359377
MPC,MARATHON PETROLEUM CORPORATION,35.33,8/26/2020,2020Q3,9247.44,28331.92,11126.55,798.89,3478.73,-0.647058824,31.34375,6.494708995,-7.727272727,-20.13333333,-30.73734177,,8,2020,62.47,12.93,8.55,,,,45.79,43.21,-0.148359377
OXY,OCCIDENTAL PETROLEUM CORPORATION,12.96,8/26/2020,2020Q3,9247.44,28331.92,11126.55,798.89,3478.73,-0.647058824,31.34375,6.494708995,-7.727272727,-20.13333333,-30.73734177,,8,2020,62.47,12.93,8.55,,,,45.79,43.21,-0.148359377
CVX,CHEVRON CORPORATION,84.78,8/26/2020,2020Q3,9247.44,28331.92,11126.55,798.89,3478.73,-0.647058824,31.34375,6.494708995,-7.727272727,-20.13333333,-30.73734177,,8,2020,62.47,12.93,8.55,,,,45.79,43.21,-0.148359377
PSX,PHILLIPS 66,60.03,8/26/2020,2020Q3,9247.44,28331.92,11126.55,798.89,3478.73,-0.647058824,31.34375,6.494708995,-7.727272727,-20.13333333,-30.73734177,,8,2020,62.47,12.93,8.55,,,,45.79,43.21,-0.148359377
COP,CONOCOPHILLIPS,37.56,8/26/2020,2020Q3,9247.44,28331.92,11126.55,798.89,3478.73,-0.647058824,31.34375,6.494708995,-7.727272727,-20.13333333,-30.73734177,,8,2020,62.47,12.93,8.55,,,,45.79,43.21,-0.148359377
MRO,MARATHON OIL CORPORATION,5.3,8/26/2020,2020Q3,9247.44,28331.92,11126.55,798.89,3478.73,-0.647058824,31.34375,6.494708995,-7.727272727,-20.13333333,-30.73734177,,8,2020,62.47,12.93,8.55,,,,45.79,43.21,-0.148359377
BP,BP P.L.C.,21.38,8/26/2020,2020Q3,9247.44,28331.92,11126.55,798.89,3478.73,-0.647058824,31.34375,6.494708995,-7.727272727,-20.13333333,-30.73734177,,8,2020,62.47,12.93,8.55,,,,45.79,43.21,-0.148359377
PXD,PIONEER NATURAL RESOURCES COMPANY,104.41,8/26/2020,2020Q3,9247.44,28331.92,11126.55,798.89,3478.73,-0.647058824,31.34375,6.494708995,-7.727272727,-20.13333333,-30.73734177,,8,2020,62.47,12.93,8.55,,,,45.79,43.21,-0.148359377
VLO,VALERO ENERGY CORPORATION,54.25,8/25/2020,2020Q3,9253.63,28248.44,11127.01,810.8,3443.62,-1.8,21.54545455,6.760526316,-8.916666667,-20.05882353,-31.58544304,,8,2020,62.47,12.93,8.55,,,,46.01,43.17,-0.142993329
XOM,EXXON MOBIL CORPORATION,40.88,8/25/2020,2020Q3,9253.63,28248.44,11127.01,810.8,3443.62,-1.8,21.54545455,6.760526316,-8.916666667,-20.05882353,-31.58544304,,8,2020,62.47,12.93,8.55,,,,46.01,43.17,-0.142993329
MPC,MARATHON PETROLEUM CORPORATION,36.45,8/25/2020,2020Q3,9253.63,28248.44,11127.01,810.8,3443.62,-1.8,21.54545455,6.760526316,-8.916666667,-20.05882353,-31.58544304,,8,2020,62.47,12.93,8.55,,,,46.01,43.17,-0.142993329
OXY,OCCIDENTAL PETROLEUM CORPORATION,13.51,8/25/2020,2020Q3,9253.63,28248.44,11127.01,810.8,3443.62,-1.8,21.54545455,6.760526316,-8.916666667,-20.05882353,-31.58544304,,8,2020,62.47,12.93,8.55,,,,46.01,43.17,-0.142993329
CVX,CHEVRON CORPORATION,86.13,8/25/2020,2020Q3,9253.63,28248.44,11127.01,810.8,3443.62,-1.8,21.54545455,6.760526316,-8.916666667,-20.05882353,-31.58544304,,8,2020,62.47,12.93,8.55,,,,46.01,43.17,-0.142993329
PSX,PHILLIPS 66,61.63,8/25/2020,2020Q3,9253.63,28248.44,11127.01,810.8,3443.62,-1.8,21.54545455,6.760526316,-8.916666667,-20.05882353,-31.58544304,,8,2020,62.47,12.93,8.55,,,,46.01,43.17,-0.142993329
COP,CONOCOPHILLIPS,38.85,8/25/2020,2020Q3,9253.63,28248.44,11127.01,810.8,3443.62,-1.8,21.54545455,6.760526316,-8.916666667,-20.05882353,-31.58544304,,8,2020,62.47,12.93,8.55,,,,46.01,43.17,-0.142993329
MRO,MARATHON OIL CORPORATION,5.49,8/25/2020,2020Q3,9253.63,28248.44,11127.01,810.8,3443.62,-1.8,21.54545455,6.760526316,-8.916666667,-20.05882353,-31.58544304,,8,2020,62.47,12.93,8.55,,,,46.01,43.17,-0.142993329
BP,BP P.L.C.,21.62,8/25/2020,2020Q3,9253.63,28248.44,11127.01,810.8,3443.62,-1.8,21.54545455,6.760526316,-8.916666667,-20.05882353,-31.58544304,,8,2020,62.47,12.93,8.55,,,,46.01,43.17,-0.142993329
PXD,PIONEER NATURAL RESOURCES COMPANY,106.92,8/25/2020,2020Q3,9253.63,28248.44,11127.01,810.8,3443.62,-1.8,21.54545455,6.760526316,-8.916666667,-20.05882353,-31.58544304,,8,2020,62.47,12.93,8.55,,,,46.01,43.17,-0.142993329
VLO,VALERO ENERGY CORPORATION,54.99,8/24/2020,2020Q3,9282.43,28308.46,11148.61,817.71,3431.28,-2.833333333,22.06060606,6.521390374,-8.916666667,-20.29411765,-31.00326797,,8,2020,62.47,12.93,8.55,,,,44.43,42.44,-0.18291572
XOM,EXXON MOBIL CORPORATION,42.22,8/24/2020,2020Q3,9282.43,28308.46,11148.61,817.71,3431.28,-2.833333333,22.06060606,6.521390374,-8.916666667,-20.29411765,-31.00326797,,8,2020,62.47,12.93,8.55,,,,44.43,42.44,-0.18291572
MPC,MARATHON PETROLEUM CORPORATION,36.81,8/24/2020,2020Q3,9282.43,28308.46,11148.61,817.71,3431.28,-2.833333333,22.06060606,6.521390374,-8.916666667,-20.29411765,-31.00326797,,8,2020,62.47,12.93,8.55,,,,44.43,42.44,-0.18291572
OXY,OCCIDENTAL PETROLEUM CORPORATION,13.62,8/24/2020,2020Q3,9282.43,28308.46,11148.61,817.71,3431.28,-2.833333333,22.06060606,6.521390374,-8.916666667,-20.29411765,-31.00326797,,8,2020,62.47,12.93,8.55,,,,44.43,42.44,-0.18291572
CVX,CHEVRON CORPORATION,87.2,8/24/2020,2020Q3,9282.43,28308.46,11148.61,817.71,3431.28,-2.833333333,22.06060606,6.521390374,-8.916666667,-20.29411765,-31.00326797,,8,2020,62.47,12.93,8.55,,,,44.43,42.44,-0.18291572
PSX,PHILLIPS 66,63.65,8/24/2020,2020Q3,9282.43,28308.46,11148.61,817.71,3431.28,-2.833333333,22.06060606,6.521390374,-8.916666667,-20.29411765,-31.00326797,,8,2020,62.47,12.93,8.55,,,,44.43,42.44,-0.18291572
COP,CONOCOPHILLIPS,38.87,8/24/2020,2020Q3,9282.43,28308.46,11148.61,817.71,3431.28,-2.833333333,22.06060606,6.521390374,-8.916666667,-20.29411765,-31.00326797,,8,2020,62.47,12.93,8.55,,,,44.43,42.44,-0.18291572
MRO,MARATHON OIL CORPORATION,5.45,8/24/2020,2020Q3,9282.43,28308.46,11148.61,817.71,3431.28,-2.833333333,22.06060606,6.521390374,-8.916666667,-20.29411765,-31.00326797,,8,2020,62.47,12.93,8.55,,,,44.43,42.44,-0.18291572
BP,BP P.L.C.,21.91,8/24/2020,2020Q3,9282.43,28308.46,11148.61,817.71,3431.28,-2.833333333,22.06060606,6.521390374,-8.916666667,-20.29411765,-31.00326797,,8,2020,62.47,12.93,8.55,,,,44.43,42.44,-0.18291572
PXD,PIONEER NATURAL RESOURCES COMPANY,104.75,8/24/2020,2020Q3,9282.43,28308.46,11148.61,817.71,3431.28,-2.833333333,22.06060606,6.521390374,-8.916666667,-20.29411765,-31.00326797,,8,2020,62.47,12.93,8.55,,,,44.43,42.44,-0.18291572
VLO,VALERO ENERGY CORPORATION,52.62,8/21/2020,2020Q3,9151.03,27930.33,10940.68,809.61,3397.16,-1.5625,31.91428571,6.52892562,-10.58333333,-14.78947368,-31.27152318,,8,2020,62.47,12.93,8.55,,,,43.94,42.32,-0.156785717
XOM,EXXON MOBIL CORPORATION,41.01,8/21/2020,2020Q3,9151.03,27930.33,10940.68,809.61,3397.16,-1.5625,31.91428571,6.52892562,-10.58333333,-14.78947368,-31.27152318,,8,2020,62.47,12.93,8.55,,,,43.94,42.32,-0.156785717
MPC,MARATHON PETROLEUM CORPORATION,35.4,8/21/2020,2020Q3,9151.03,27930.33,10940.68,809.61,3397.16,-1.5625,31.91428571,6.52892562,-10.58333333,-14.78947368,-31.27152318,,8,2020,62.47,12.93,8.55,,,,43.94,42.32,-0.156785717
OXY,OCCIDENTAL PETROLEUM CORPORATION,13.16,8/21/2020,2020Q3,9151.03,27930.33,10940.68,809.61,3397.16,-1.5625,31.91428571,6.52892562,-10.58333333,-14.78947368,-31.27152318,,8,2020,62.47,12.93,8.55,,,,43.94,42.32,-0.156785717
CVX,CHEVRON CORPORATION,85.08,8/21/2020,2020Q3,9151.03,27930.33,10940.68,809.61,3397.16,-1.5625,31.91428571,6.52892562,-10.58333333,-14.78947368,-31.27152318,,8,2020,62.47,12.93,8.55,,,,43.94,42.32,-0.156785717
PSX,PHILLIPS 66,60.97,8/21/2020,2020Q3,9151.03,27930.33,10940.68,809.61,3397.16,-1.5625,31.91428571,6.52892562,-10.58333333,-14.78947368,-31.27152318,,8,2020,62.47,12.93,8.55,,,,43.94,42.32,-0.156785717
COP,CONOCOPHILLIPS,38.16,8/21/2020,2020Q3,9151.03,27930.33,10940.68,809.61,3397.16,-1.5625,31.91428571,6.52892562,-10.58333333,-14.78947368,-31.27152318,,8,2020,62.47,12.93,8.55,,,,43.94,42.32,-0.156785717
MRO,MARATHON OIL CORPORATION,5.27,8/21/2020,2020Q3,9151.03,27930.33,10940.68,809.61,3397.16,-1.5625,31.91428571,6.52892562,-10.58333333,-14.78947368,-31.27152318,,8,2020,62.47,12.93,8.55,,,,43.94,42.32,-0.156785717
BP,BP P.L.C.,21.46,8/21/2020,2020Q3,9151.03,27930.33,10940.68,809.61,3397.16,-1.5625,31.91428571,6.52892562,-10.58333333,-14.78947368,-31.27152318,,8,2020,62.47,12.93,8.55,,,,43.94,42.32,-0.156785717
PXD,PIONEER NATURAL RESOURCES COMPANY,102.11,8/21/2020,2020Q3,9151.03,27930.33,10940.68,809.61,3397.16,-1.5625,31.91428571,6.52892562,-10.58333333,-14.78947368,-31.27152318,,8,2020,62.47,12.93,8.55,,,,43.94,42.32,-0.156785717
VLO,VALERO ENERGY CORPORATION,52.7,8/20/2020,2020Q3,9106.56,27739.73,10893.93,810.59,3385.51,-0.333333333,31.08823529,6.265625,-7.166666667,-16.64705882,-31.59621451,,8,2020,62.47,12.93,8.55,,,,44.56,42.62,-0.169097891
XOM,EXXON MOBIL CORPORATION,41.32,8/20/2020,2020Q3,9106.56,27739.73,10893.93,810.59,3385.51,-0.333333333,31.08823529,6.265625,-7.166666667,-16.64705882,-31.59621451,,8,2020,62.47,12.93,8.55,,,,44.56,42.62,-0.169097891
MPC,MARATHON PETROLEUM CORPORATION,35.62,8/20/2020,2020Q3,9106.56,27739.73,10893.93,810.59,3385.51,-0.333333333,31.08823529,6.265625,-7.166666667,-16.64705882,-31.59621451,,8,2020,62.47,12.93,8.55,,,,44.56,42.62,-0.169097891
OXY,OCCIDENTAL PETROLEUM CORPORATION,13.4,8/20/2020,2020Q3,9106.56,27739.73,10893.93,810.59,3385.51,-0.333333333,31.08823529,6.265625,-7.166666667,-16.64705882,-31.59621451,,8,2020,62.47,12.93,8.55,,,,44.56,42.62,-0.169097891
CVX,CHEVRON CORPORATION,84.81,8/20/2020,2020Q3,9106.56,27739.73,10893.93,810.59,3385.51,-0.333333333,31.08823529,6.265625,-7.166666667,-16.64705882,-31.59621451,,8,2020,62.47,12.93,8.55,,,,44.56,42.62,-0.169097891
PSX,PHILLIPS 66,60.97,8/20/2020,2020Q3,9106.56,27739.73,10893.93,810.59,3385.51,-0.333333333,31.08823529,6.265625,-7.166666667,-16.64705882,-31.59621451,,8,2020,62.47,12.93,8.55,,,,44.56,42.62,-0.169097891
COP,CONOCOPHILLIPS,38.77,8/20/2020,2020Q3,9106.56,27739.73,10893.93,810.59,3385.51,-0.333333333,31.08823529,6.265625,-7.166666667,-16.64705882,-31.59621451,,8,2020,62.47,12.93,8.55,,,,44.56,42.62,-0.169097891
MRO,MARATHON OIL CORPORATION,5.51,8/20/2020,2020Q3,9106.56,27739.73,10893.93,810.59,3385.51,-0.333333333,31.08823529,6.265625,-7.166666667,-16.64705882,-31.59621451,,8,2020,62.47,12.93,8.55,,,,44.56,42.62,-0.169097891
BP,BP P.L.C.,21.96,8/20/2020,2020Q3,9106.56,27739.73,10893.93,810.59,3385.51,-0.333333333,31.08823529,6.265625,-7.166666667,-16.64705882,-31.59621451,,8,2020,62.47,12.93,8.55,,,,44.56,42.62,-0.169097891
PXD,PIONEER NATURAL RESOURCES COMPANY,102.67,8/20/2020,2020Q3,9106.56,27739.73,10893.93,810.59,3385.51,-0.333333333,31.08823529,6.265625,-7.166666667,-16.64705882,-31.59621451,,8,2020,62.47,12.93,8.55,,,,44.56,42.62,-0.169097891
VLO,VALERO ENERGY CORPORATION,54.26,8/19/2020,2020Q3,9107.45,27692.88,10883.12,817.16,3374.85,-0.222222222,34.03125,6.234375,-7.181818182,-18.4375,-31.41640379,,8,2020,62.47,12.93,8.55,,,,45.21,42.91,-0.160739327
XOM,EXXON MOBIL CORPORATION,41.96,8/19/2020,2020Q3,9107.45,27692.88,10883.12,817.16,3374.85,-0.222222222,34.03125,6.234375,-7.181818182,-18.4375,-31.41640379,,8,2020,62.47,12.93,8.55,,,,45.21,42.91,-0.160739327
MPC,MARATHON PETROLEUM CORPORATION,37.18,8/19/2020,2020Q3,9107.45,27692.88,10883.12,817.16,3374.85,-0.222222222,34.03125,6.234375,-7.181818182,-18.4375,-31.41640379,,8,2020,62.47,12.93,8.55,,,,45.21,42.91,-0.160739327
OXY,OCCIDENTAL PETROLEUM CORPORATION,13.82,8/19/2020,2020Q3,9107.45,27692.88,10883.12,817.16,3374.85,-0.222222222,34.03125,6.234375,-7.181818182,-18.4375,-31.41640379,,8,2020,62.47,12.93,8.55,,,,45.21,42.91,-0.160739327
CVX,CHEVRON CORPORATION,86.39,8/19/2020,2020Q3,9107.45,27692.88,10883.12,817.16,3374.85,-0.222222222,34.03125,6.234375,-7.181818182,-18.4375,-31.41640379,,8,2020,62.47,12.93,8.55,,,,45.21,42.91,-0.160739327
PSX,PHILLIPS 66,61.42,8/19/2020,2020Q3,9107.45,27692.88,10883.12,817.16,3374.85,-0.222222222,34.03125,6.234375,-7.181818182,-18.4375,-31.41640379,,8,2020,62.47,12.93,8.55,,,,45.21,42.91,-0.160739327
COP,CONOCOPHILLIPS,39.65,8/19/2020,2020Q3,9107.45,27692.88,10883.12,817.16,3374.85,-0.222222222,34.03125,6.234375,-7.181818182,-18.4375,-31.41640379,,8,2020,62.47,12.93,8.55,,,,45.21,42.91,-0.160739327
MRO,MARATHON OIL CORPORATION,5.73,8/19/2020,2020Q3,9107.45,27692.88,10883.12,817.16,3374.85,-0.222222222,34.03125,6.234375,-7.181818182,-18.4375,-31.41640379,,8,2020,62.47,12.93,8.55,,,,45.21,42.91,-0.160739327
BP,BP P.L.C.,22.24,8/19/2020,2020Q3,9107.45,27692.88,10883.12,817.16,3374.85,-0.222222222,34.03125,6.234375,-7.181818182,-18.4375,-31.41640379,,8,2020,62.47,12.93,8.55,,,,45.21,42.91,-0.160739327
PXD,PIONEER NATURAL RESOURCES COMPANY,104.77,8/19/2020,2020Q3,9107.45,27692.88,10883.12,817.16,3374.85,-0.222222222,34.03125,6.234375,-7.181818182,-18.4375,-31.41640379,,8,2020,62.47,12.93,8.55,,,,45.21,42.91,-0.160739327
VLO,VALERO ENERGY CORPORATION,54.74,8/18/2020,2020Q3,9125.74,27778.07,10865.12,820.37,3389.78,-0.266666667,34,6.636842105,-7.916666667,-17.94117647,-31.32911392,,8,2020,62.47,12.93,8.55,,,,45.34,42.89,-0.207805433
XOM,EXXON MOBIL CORPORATION,42.43,8/18/2020,2020Q3,9125.74,27778.07,10865.12,820.37,3389.78,-0.266666667,34,6.636842105,-7.916666667,-17.94117647,-31.32911392,,8,2020,62.47,12.93,8.55,,,,45.34,42.89,-0.207805433
MPC,MARATHON PETROLEUM CORPORATION,37.24,8/18/2020,2020Q3,9125.74,27778.07,10865.12,820.37,3389.78,-0.266666667,34,6.636842105,-7.916666667,-17.94117647,-31.32911392,,8,2020,62.47,12.93,8.55,,,,45.34,42.89,-0.207805433
OXY,OCCIDENTAL PETROLEUM CORPORATION,13.95,8/18/2020,2020Q3,9125.74,27778.07,10865.12,820.37,3389.78,-0.266666667,34,6.636842105,-7.916666667,-17.94117647,-31.32911392,,8,2020,62.47,12.93,8.55,,,,45.34,42.89,-0.207805433
CVX,CHEVRON CORPORATION,87.63,8/18/2020,2020Q3,9125.74,27778.07,10865.12,820.37,3389.78,-0.266666667,34,6.636842105,-7.916666667,-17.94117647,-31.32911392,,8,2020,62.47,12.93,8.55,,,,45.34,42.89,-0.207805433
PSX,PHILLIPS 66,61.31,8/18/2020,2020Q3,9125.74,27778.07,10865.12,820.37,3389.78,-0.266666667,34,6.636842105,-7.916666667,-17.94117647,-31.32911392,,8,2020,62.47,12.93,8.55,,,,45.34,42.89,-0.207805433
COP,CONOCOPHILLIPS,40.33,8/18/2020,2020Q3,9125.74,27778.07,10865.12,820.37,3389.78,-0.266666667,34,6.636842105,-7.916666667,-17.94117647,-31.32911392,,8,2020,62.47,12.93,8.55,,,,45.34,42.89,-0.207805433
MRO,MARATHON OIL CORPORATION,5.95,8/18/2020,2020Q3,9125.74,27778.07,10865.12,820.37,3389.78,-0.266666667,34,6.636842105,-7.916666667,-17.94117647,-31.32911392,,8,2020,62.47,12.93,8.55,,,,45.34,42.89,-0.207805433
BP,BP P.L.C.,22.36,8/18/2020,2020Q3,9125.74,27778.07,10865.12,820.37,3389.78,-0.266666667,34,6.636842105,-7.916666667,-17.94117647,-31.32911392,,8,2020,62.47,12.93,8.55,,,,45.34,42.89,-0.207805433
PXD,PIONEER NATURAL RESOURCES COMPANY,107.7,8/18/2020,2020Q3,9125.74,27778.07,10865.12,820.37,3389.78,-0.266666667,34,6.636842105,-7.916666667,-17.94117647,-31.32911392,,8,2020,62.47,12.93,8.55,,,,45.34,42.89,-0.207805433
VLO,VALERO ENERGY CORPORATION,55.6,8/17/2020,2020Q3,9163.87,27844.91,10952.94,823.96,3381.99,-1.4375,29.27272727,6.208108108,-7.25,-15.77777778,-32.24025974,,8,2020,62.47,12.93,8.55,,,,44.91,42.89,-0.152093025
XOM,EXXON MOBIL CORPORATION,42.64,8/17/2020,2020Q3,9163.87,27844.91,10952.94,823.96,3381.99,-1.4375,29.27272727,6.208108108,-7.25,-15.77777778,-32.24025974,,8,2020,62.47,12.93,8.55,,,,44.91,42.89,-0.152093025
MPC,MARATHON PETROLEUM CORPORATION,38.65,8/17/2020,2020Q3,9163.87,27844.91,10952.94,823.96,3381.99,-1.4375,29.27272727,6.208108108,-7.25,-15.77777778,-32.24025974,,8,2020,62.47,12.93,8.55,,,,44.91,42.89,-0.152093025
OXY,OCCIDENTAL PETROLEUM CORPORATION,13.91,8/17/2020,2020Q3,9163.87,27844.91,10952.94,823.96,3381.99,-1.4375,29.27272727,6.208108108,-7.25,-15.77777778,-32.24025974,,8,2020,62.47,12.93,8.55,,,,44.91,42.89,-0.152093025
CVX,CHEVRON CORPORATION,90.77,8/17/2020,2020Q3,9163.87,27844.91,10952.94,823.96,3381.99,-1.4375,29.27272727,6.208108108,-7.25,-15.77777778,-32.24025974,,8,2020,62.47,12.93,8.55,,,,44.91,42.89,-0.152093025
PSX,PHILLIPS 66,62.36,8/17/2020,2020Q3,9163.87,27844.91,10952.94,823.96,3381.99,-1.4375,29.27272727,6.208108108,-7.25,-15.77777778,-32.24025974,,8,2020,62.47,12.93,8.55,,,,44.91,42.89,-0.152093025
COP,CONOCOPHILLIPS,40.7,8/17/2020,2020Q3,9163.87,27844.91,10952.94,823.96,3381.99,-1.4375,29.27272727,6.208108108,-7.25,-15.77777778,-32.24025974,,8,2020,62.47,12.93,8.55,,,,44.91,42.89,-0.152093025
MRO,MARATHON OIL CORPORATION,5.92,8/17/2020,2020Q3,9163.87,27844.91,10952.94,823.96,3381.99,-1.4375,29.27272727,6.208108108,-7.25,-15.77777778,-32.24025974,,8,2020,62.47,12.93,8.55,,,,44.91,42.89,-0.152093025
BP,BP P.L.C.,22.75,8/17/2020,2020Q3,9163.87,27844.91,10952.94,823.96,3381.99,-1.4375,29.27272727,6.208108108,-7.25,-15.77777778,-32.24025974,,8,2020,62.47,12.93,8.55,,,,44.91,42.89,-0.152093025
PXD,PIONEER NATURAL RESOURCES COMPANY,108.61,8/17/2020,2020Q3,9163.87,27844.91,10952.94,823.96,3381.99,-1.4375,29.27272727,6.208108108,-7.25,-15.77777778,-32.24025974,,8,2020,62.47,12.93,8.55,,,,44.91,42.89,-0.152093025
VLO,VALERO ENERGY CORPORATION,54.46,8/14/2020,2020Q3,9183.35,27931.02,10959.54,824.87,3372.85,-1.5625,71.98148148,6.997229917,-10.75,-14.51851852,-27.03084223,,8,2020,62.47,12.93,8.55,,,,44.86,42.05,-0.216782679
XOM,EXXON MOBIL CORPORATION,43.2,8/14/2020,2020Q3,9183.35,27931.02,10959.54,824.87,3372.85,-1.5625,71.98148148,6.997229917,-10.75,-14.51851852,-27.03084223,,8,2020,62.47,12.93,8.55,,,,44.86,42.05,-0.216782679
MPC,MARATHON PETROLEUM CORPORATION,38.35,8/14/2020,2020Q3,9183.35,27931.02,10959.54,824.87,3372.85,-1.5625,71.98148148,6.997229917,-10.75,-14.51851852,-27.03084223,,8,2020,62.47,12.93,8.55,,,,44.86,42.05,-0.216782679
OXY,OCCIDENTAL PETROLEUM CORPORATION,14.64,8/14/2020,2020Q3,9183.35,27931.02,10959.54,824.87,3372.85,-1.5625,71.98148148,6.997229917,-10.75,-14.51851852,-27.03084223,,8,2020,62.47,12.93,8.55,,,,44.86,42.05,-0.216782679
CVX,CHEVRON CORPORATION,90.35,8/14/2020,2020Q3,9183.35,27931.02,10959.54,824.87,3372.85,-1.5625,71.98148148,6.997229917,-10.75,-14.51851852,-27.03084223,,8,2020,62.47,12.93,8.55,,,,44.86,42.05,-0.216782679
PSX,PHILLIPS 66,63.66,8/14/2020,2020Q3,9183.35,27931.02,10959.54,824.87,3372.85,-1.5625,71.98148148,6.997229917,-10.75,-14.51851852,-27.03084223,,8,2020,62.47,12.93,8.55,,,,44.86,42.05,-0.216782679
COP,CONOCOPHILLIPS,40.82,8/14/2020,2020Q3,9183.35,27931.02,10959.54,824.87,3372.85,-1.5625,71.98148148,6.997229917,-10.75,-14.51851852,-27.03084223,,8,2020,62.47,12.93,8.55,,,,44.86,42.05,-0.216782679
MRO,MARATHON OIL CORPORATION,6.05,8/14/2020,2020Q3,9183.35,27931.02,10959.54,824.87,3372.85,-1.5625,71.98148148,6.997229917,-10.75,-14.51851852,-27.03084223,,8,2020,62.47,12.93,8.55,,,,44.86,42.05,-0.216782679
BP,BP P.L.C.,22.99,8/14/2020,2020Q3,9183.35,27931.02,10959.54,824.87,3372.85,-1.5625,71.98148148,6.997229917,-10.75,-14.51851852,-27.03084223,,8,2020,62.47,12.93,8.55,,,,44.86,42.05,-0.216782679
PXD,PIONEER NATURAL RESOURCES COMPANY,110.73,8/14/2020,2020Q3,9183.35,27931.02,10959.54,824.87,3372.85,-1.5625,71.98148148,6.997229917,-10.75,-14.51851852,-27.03084223,,8,2020,62.47,12.93,8.55,,,,44.86,42.05,-0.216782679
VLO,VALERO ENERGY CORPORATION,53.19,8/13/2020,2020Q3,9178.77,27896.72,10886.48,834.39,3373.43,1.235294118,63.43243243,6.907407407,-8,-15.23076923,-27.6557377,,8,2020,62.47,12.93,8.55,,,,44.87,42.26,-0.210522835
XOM,EXXON MOBIL CORPORATION,43.01,8/13/2020,2020Q3,9178.77,27896.72,10886.48,834.39,3373.43,1.235294118,63.43243243,6.907407407,-8,-15.23076923,-27.6557377,,8,2020,62.47,12.93,8.55,,,,44.87,42.26,-0.210522835
MPC,MARATHON PETROLEUM CORPORATION,37.26,8/13/2020,2020Q3,9178.77,27896.72,10886.48,834.39,3373.43,1.235294118,63.43243243,6.907407407,-8,-15.23076923,-27.6557377,,8,2020,62.47,12.93,8.55,,,,44.87,42.26,-0.210522835
OXY,OCCIDENTAL PETROLEUM CORPORATION,14.6,8/13/2020,2020Q3,9178.77,27896.72,10886.48,834.39,3373.43,1.235294118,63.43243243,6.907407407,-8,-15.23076923,-27.6557377,,8,2020,62.47,12.93,8.55,,,,44.87,42.26,-0.210522835
CVX,CHEVRON CORPORATION,89.82,8/13/2020,2020Q3,9178.77,27896.72,10886.48,834.39,3373.43,1.235294118,63.43243243,6.907407407,-8,-15.23076923,-27.6557377,,8,2020,62.47,12.93,8.55,,,,44.87,42.26,-0.210522835
PSX,PHILLIPS 66,62.63,8/13/2020,2020Q3,9178.77,27896.72,10886.48,834.39,3373.43,1.235294118,63.43243243,6.907407407,-8,-15.23076923,-27.6557377,,8,2020,62.47,12.93,8.55,,,,44.87,42.26,-0.210522835
COP,CONOCOPHILLIPS,40.63,8/13/2020,2020Q3,9178.77,27896.72,10886.48,834.39,3373.43,1.235294118,63.43243243,6.907407407,-8,-15.23076923,-27.6557377,,8,2020,62.47,12.93,8.55,,,,44.87,42.26,-0.210522835
MRO,MARATHON OIL CORPORATION,5.89,8/13/2020,2020Q3,9178.77,27896.72,10886.48,834.39,3373.43,1.235294118,63.43243243,6.907407407,-8,-15.23076923,-27.6557377,,8,2020,62.47,12.93,8.55,,,,44.87,42.26,-0.210522835
BP,BP P.L.C.,23.45,8/13/2020,2020Q3,9178.77,27896.72,10886.48,834.39,3373.43,1.235294118,63.43243243,6.907407407,-8,-15.23076923,-27.6557377,,8,2020,62.47,12.93,8.55,,,,44.87,42.26,-0.210522835
